condition,group,label,ITEST_id,step_idx,skill,citation_required,stage1_used,stage3_used,truncated_in_thinking,n_sentences,faithfulness_rate,hallucination_rate,hedge_violation_rate,structural_violation_rate,conditional_faithfulness_rate,conditional_hallucination_rate,n_content_eligible
template,baseline,Template-only,1989,117,perimeter,True,True,True,False,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0
full,baseline,MetaKT-Verba (Full),1989,117,perimeter,True,True,True,False,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),1989,117,perimeter,True,False,True,False,3,1.0,0.0,0.0,0.0,1.0,0.0,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,1989,117,perimeter,False,True,True,False,4,1.0,0.0,0.0,,1.0,0.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),1989,117,perimeter,True,True,False,False,1,,,,0.0,,,
naive,baseline,Naive Prompting,3327,391,sum-of-interior-angles-more-than-3-sides,False,False,True,False,3,0.0,1.0,0.0,,0.0,1.0,3.0
template,baseline,Template-only,3327,391,sum-of-interior-angles-more-than-3-sides,True,True,True,False,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0
full,baseline,MetaKT-Verba (Full),3327,391,sum-of-interior-angles-more-than-3-sides,True,True,True,False,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),3327,391,sum-of-interior-angles-more-than-3-sides,True,False,True,False,4,0.0,1.0,0.0,0.0,0.0,1.0,4.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,3327,391,sum-of-interior-angles-more-than-3-sides,False,True,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),3327,391,sum-of-interior-angles-more-than-3-sides,True,True,False,False,1,,,,0.0,,,
naive,baseline,Naive Prompting,2513,262,reading-graph,False,False,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
template,baseline,Template-only,2513,262,reading-graph,True,True,True,False,2,1.0,0.0,0.0,0.0,1.0,0.0,2.0
full,baseline,MetaKT-Verba (Full),2513,262,reading-graph,True,True,True,False,2,0.0,1.0,0.0,0.0,0.0,1.0,2.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),2513,262,reading-graph,True,False,True,False,4,0.0,1.0,0.0,0.0,0.0,1.0,4.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,2513,262,reading-graph,False,True,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),2513,262,reading-graph,True,True,False,False,2,,,,0.0,,,
naive,baseline,Naive Prompting,7775,757,discount,False,False,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
template,baseline,Template-only,7775,757,discount,True,True,True,False,2,1.0,0.0,0.0,0.0,1.0,0.0,2.0
full,baseline,MetaKT-Verba (Full),7775,757,discount,True,True,True,False,2,0.0,1.0,0.0,0.0,0.0,1.0,2.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),7775,757,discount,True,False,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,7775,757,discount,False,True,True,False,4,0.25,0.75,0.0,,0.25,0.75,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),7775,757,discount,True,True,False,False,2,,,,0.0,,,
naive,baseline,Naive Prompting,2421,264,pythagorean-theorem,False,False,True,False,3,0.0,1.0,0.0,,0.0,1.0,3.0
template,baseline,Template-only,2421,264,pythagorean-theorem,True,True,True,False,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0
full,baseline,MetaKT-Verba (Full),2421,264,pythagorean-theorem,True,True,True,False,3,0.3333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333,0.6666666666666666,3.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),2421,264,pythagorean-theorem,True,False,True,False,4,0.0,1.0,0.0,0.0,0.0,1.0,4.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,2421,264,pythagorean-theorem,False,True,True,False,4,0.25,0.75,0.0,,0.25,0.75,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),2421,264,pythagorean-theorem,True,True,False,False,3,,,,0.0,,,
naive,baseline,Naive Prompting,35,558,noskill,False,False,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
template,baseline,Template-only,35,558,noskill,True,True,True,False,2,1.0,0.0,0.0,0.0,1.0,0.0,2.0
full,baseline,MetaKT-Verba (Full),35,558,noskill,True,True,True,False,2,0.5,0.5,0.0,0.0,0.5,0.5,2.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),35,558,noskill,True,False,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,35,558,noskill,False,True,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),35,558,noskill,True,True,False,False,2,,,,0.0,,,
naive,baseline,Naive Prompting,4551,36,reading-graph,False,False,True,False,3,0.0,1.0,0.0,,0.0,1.0,3.0
template,baseline,Template-only,4551,36,reading-graph,True,True,True,False,2,1.0,0.0,0.0,0.0,1.0,0.0,2.0
full,baseline,MetaKT-Verba (Full),4551,36,reading-graph,True,True,True,False,2,0.0,1.0,0.0,0.0,0.0,1.0,2.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),4551,36,reading-graph,True,False,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,4551,36,reading-graph,False,True,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),4551,36,reading-graph,True,True,False,False,2,,,,0.0,,,
naive,baseline,Naive Prompting,4162,981,equation-solving,False,False,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
template,baseline,Template-only,4162,981,equation-solving,True,True,True,False,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0
full,baseline,MetaKT-Verba (Full),4162,981,equation-solving,True,True,True,False,3,0.3333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333,0.6666666666666666,3.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),4162,981,equation-solving,True,False,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,4162,981,equation-solving,False,True,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),4162,981,equation-solving,True,True,False,False,3,,,,0.0,,,
naive,baseline,Naive Prompting,4255,31,reading-graph,False,False,True,False,4,0.25,0.75,0.0,,0.25,0.75,4.0
template,baseline,Template-only,4255,31,reading-graph,True,True,True,False,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0
full,baseline,MetaKT-Verba (Full),4255,31,reading-graph,True,True,True,False,2,0.0,1.0,0.0,0.0,0.0,1.0,2.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),4255,31,reading-graph,True,False,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,4255,31,reading-graph,False,True,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),4255,31,reading-graph,True,True,False,False,2,,,,0.0,,,
naive,baseline,Naive Prompting,7775,78,transversals,False,False,True,False,3,0.0,1.0,0.0,,0.0,1.0,3.0
template,baseline,Template-only,7775,78,transversals,True,True,True,False,2,1.0,0.0,0.0,0.0,1.0,0.0,2.0
full,baseline,MetaKT-Verba (Full),7775,78,transversals,True,True,True,False,2,0.0,1.0,0.0,0.0,0.0,1.0,2.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),7775,78,transversals,True,False,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,7775,78,transversals,False,True,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),7775,78,transversals,True,True,False,False,2,,,,0.0,,,
naive,baseline,Naive Prompting,2421,542,substitution,False,False,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
template,baseline,Template-only,2421,542,substitution,True,True,True,False,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0
full,baseline,MetaKT-Verba (Full),2421,542,substitution,True,True,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),2421,542,substitution,True,False,True,False,4,0.0,1.0,0.0,0.0,0.0,1.0,4.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,2421,542,substitution,False,True,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),2421,542,substitution,True,True,False,False,3,,,,0.0,,,
naive,baseline,Naive Prompting,6939,400,combinatorics,False,False,True,False,4,1.0,0.0,0.0,,1.0,0.0,4.0
template,baseline,Template-only,6939,400,combinatorics,True,True,True,False,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0
full,baseline,MetaKT-Verba (Full),6939,400,combinatorics,True,True,True,False,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),6939,400,combinatorics,True,False,True,False,3,1.0,0.0,0.0,0.0,1.0,0.0,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,6939,400,combinatorics,False,True,True,False,4,1.0,0.0,0.0,,1.0,0.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),6939,400,combinatorics,True,True,False,False,1,,,,0.0,,,
naive,baseline,Naive Prompting,1922,581,fraction-division,False,False,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
template,baseline,Template-only,1922,581,fraction-division,True,True,True,False,2,1.0,0.0,0.0,0.0,1.0,0.0,2.0
full,baseline,MetaKT-Verba (Full),1922,581,fraction-division,True,True,True,False,2,0.0,1.0,0.0,0.0,0.0,1.0,2.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),1922,581,fraction-division,True,False,True,False,4,0.0,1.0,0.0,0.0,0.0,1.0,4.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,1922,581,fraction-division,False,True,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),1922,581,fraction-division,True,True,False,False,2,,,,0.0,,,
naive,baseline,Naive Prompting,1922,137,pattern-finding,False,False,True,False,2,0.0,1.0,0.0,,0.0,1.0,2.0
template,baseline,Template-only,1922,137,pattern-finding,True,True,True,False,2,1.0,0.0,0.0,0.0,1.0,0.0,2.0
full,baseline,MetaKT-Verba (Full),1922,137,pattern-finding,True,True,True,False,2,0.5,0.5,0.0,0.0,0.5,0.5,2.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),1922,137,pattern-finding,True,False,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,1922,137,pattern-finding,False,True,True,False,4,0.25,0.75,0.0,,0.25,0.75,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),1922,137,pattern-finding,True,True,False,False,2,,,,0.0,,,
naive,baseline,Naive Prompting,1240,609,probability,False,False,True,False,4,0.25,0.75,0.0,,0.25,0.75,4.0
template,baseline,Template-only,1240,609,probability,True,True,True,False,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0
full,baseline,MetaKT-Verba (Full),1240,609,probability,True,True,True,False,3,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0,2.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),1240,609,probability,True,False,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,1240,609,probability,False,True,True,False,4,0.25,0.75,0.0,,0.25,0.75,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),1240,609,probability,True,True,False,False,3,,,,0.3333333333333333,,,
naive,baseline,Naive Prompting,6410,34,square-root,False,False,True,False,3,1.0,0.0,0.0,,1.0,0.0,3.0
template,baseline,Template-only,6410,34,square-root,True,True,True,False,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0
full,baseline,MetaKT-Verba (Full),6410,34,square-root,True,True,True,False,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),6410,34,square-root,True,False,True,False,3,1.0,0.0,0.0,0.0,1.0,0.0,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,6410,34,square-root,False,True,True,False,4,1.0,0.0,0.0,,1.0,0.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),6410,34,square-root,True,True,False,False,1,,,,0.0,,,
naive,baseline,Naive Prompting,1469,568,probability,False,False,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
template,baseline,Template-only,1469,568,probability,True,True,True,False,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0
full,baseline,MetaKT-Verba (Full),1469,568,probability,True,True,True,False,4,0.0,0.75,0.0,0.25,0.0,1.0,3.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),1469,568,probability,True,False,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,1469,568,probability,False,True,True,False,4,0.25,0.75,0.0,,0.25,0.75,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),1469,568,probability,True,True,False,False,4,,,,0.25,,,
naive,baseline,Naive Prompting,7355,90,unit-conversion,False,False,True,False,3,0.0,1.0,0.0,,0.0,1.0,3.0
template,baseline,Template-only,7355,90,unit-conversion,True,True,True,False,2,1.0,0.0,0.0,0.0,1.0,0.0,2.0
full,baseline,MetaKT-Verba (Full),7355,90,unit-conversion,True,True,True,False,2,0.0,1.0,0.0,0.0,0.0,1.0,2.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),7355,90,unit-conversion,True,False,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,7355,90,unit-conversion,False,True,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),7355,90,unit-conversion,True,True,False,False,2,,,,0.0,,,
naive,baseline,Naive Prompting,6093,393,triangle-inequality,False,False,True,False,3,0.0,1.0,0.0,,0.0,1.0,3.0
template,baseline,Template-only,6093,393,triangle-inequality,True,True,True,False,2,1.0,0.0,0.0,0.0,1.0,0.0,2.0
full,baseline,MetaKT-Verba (Full),6093,393,triangle-inequality,True,True,True,False,2,0.0,1.0,0.0,0.0,0.0,1.0,2.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),6093,393,triangle-inequality,True,False,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,6093,393,triangle-inequality,False,True,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),6093,393,triangle-inequality,True,True,False,False,2,,,,0.0,,,
naive,baseline,Naive Prompting,4621,642,noskill,False,False,True,False,3,0.0,1.0,0.0,,0.0,1.0,3.0
template,baseline,Template-only,4621,642,noskill,True,True,True,False,3,1.0,0.0,0.0,0.0,1.0,0.0,3.0
full,baseline,MetaKT-Verba (Full),4621,642,noskill,True,True,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),4621,642,noskill,True,False,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,4621,642,noskill,False,True,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),4621,642,noskill,True,True,False,False,3,,,,0.0,,,
naive,baseline,Naive Prompting,1172,201,noskill,False,False,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
template,baseline,Template-only,1172,201,noskill,True,True,True,False,2,1.0,0.0,0.0,0.0,1.0,0.0,2.0
full,baseline,MetaKT-Verba (Full),1172,201,noskill,True,True,True,False,2,0.0,1.0,0.0,0.0,0.0,1.0,2.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),1172,201,noskill,True,False,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,1172,201,noskill,False,True,True,False,2,0.0,1.0,0.0,,0.0,1.0,2.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),1172,201,noskill,True,True,False,False,2,,,,0.0,,,
naive,baseline,Naive Prompting,6476,304,multiplying-decimals,False,False,True,False,3,0.0,1.0,0.0,,0.0,1.0,3.0
template,baseline,Template-only,6476,304,multiplying-decimals,True,True,True,False,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0
full,baseline,MetaKT-Verba (Full),6476,304,multiplying-decimals,True,True,True,False,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),6476,304,multiplying-decimals,True,False,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,6476,304,multiplying-decimals,False,True,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),6476,304,multiplying-decimals,True,True,False,False,1,,,,0.0,,,
naive,baseline,Naive Prompting,3413,407,fraction-division,False,False,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
template,baseline,Template-only,3413,407,fraction-division,True,True,True,False,2,1.0,0.0,0.0,0.0,1.0,0.0,2.0
full,baseline,MetaKT-Verba (Full),3413,407,fraction-division,True,True,True,False,2,0.0,1.0,0.0,0.0,0.0,1.0,2.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),3413,407,fraction-division,True,False,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,3413,407,fraction-division,False,True,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),3413,407,fraction-division,True,True,False,False,2,,,,0.0,,,
naive,baseline,Naive Prompting,3069,1506,multiplication,False,False,True,False,3,0.0,1.0,0.0,,0.0,1.0,3.0
template,baseline,Template-only,3069,1506,multiplication,True,True,True,False,3,1.0,0.0,0.0,0.0,1.0,0.0,3.0
full,baseline,MetaKT-Verba (Full),3069,1506,multiplication,True,True,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),3069,1506,multiplication,True,False,True,False,3,0.3333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333,0.6666666666666666,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,3069,1506,multiplication,False,True,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),3069,1506,multiplication,True,True,False,False,3,,,,0.0,,,
naive,baseline,Naive Prompting,1572,610,equation-solving,False,False,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
template,baseline,Template-only,1572,610,equation-solving,True,True,True,False,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0
full,baseline,MetaKT-Verba (Full),1572,610,equation-solving,True,True,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),1572,610,equation-solving,True,False,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,1572,610,equation-solving,False,True,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),1572,610,equation-solving,True,True,False,False,3,,,,0.0,,,
naive,baseline,Naive Prompting,5422,68,application: isosceles triangle,False,False,True,False,3,0.0,1.0,0.0,,0.0,1.0,3.0
template,baseline,Template-only,5422,68,application: isosceles triangle,True,True,True,False,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0
full,baseline,MetaKT-Verba (Full),5422,68,application: isosceles triangle,True,True,True,False,3,1.0,0.0,0.0,0.0,1.0,0.0,3.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),5422,68,application: isosceles triangle,True,False,True,False,3,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,5422,68,application: isosceles triangle,False,True,True,False,4,0.75,0.25,0.0,,0.75,0.25,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),5422,68,application: isosceles triangle,True,True,False,False,3,,,,0.0,,,
naive,baseline,Naive Prompting,1590,157,rate-with-distance-and-time,False,False,True,False,3,1.0,0.0,0.0,,1.0,0.0,3.0
template,baseline,Template-only,1590,157,rate-with-distance-and-time,True,True,True,False,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0
full,baseline,MetaKT-Verba (Full),1590,157,rate-with-distance-and-time,True,True,True,False,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),1590,157,rate-with-distance-and-time,True,False,True,False,3,1.0,0.0,0.0,0.0,1.0,0.0,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,1590,157,rate-with-distance-and-time,False,True,True,False,4,1.0,0.0,0.0,,1.0,0.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),1590,157,rate-with-distance-and-time,True,True,False,False,1,,,,0.0,,,
naive,baseline,Naive Prompting,6461,223,properties-of-solids,False,False,True,False,2,0.0,1.0,0.0,,0.0,1.0,2.0
template,baseline,Template-only,6461,223,properties-of-solids,True,True,True,False,2,1.0,0.0,0.0,0.0,1.0,0.0,2.0
full,baseline,MetaKT-Verba (Full),6461,223,properties-of-solids,True,True,True,False,3,0.3333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333,0.6666666666666666,3.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),6461,223,properties-of-solids,True,False,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,6461,223,properties-of-solids,False,True,True,False,2,0.0,1.0,0.0,,0.0,1.0,2.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),6461,223,properties-of-solids,True,True,False,False,3,,,,0.0,,,
naive,baseline,Naive Prompting,3159,413,prime-number,False,False,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
template,baseline,Template-only,3159,413,prime-number,True,True,True,False,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0
full,baseline,MetaKT-Verba (Full),3159,413,prime-number,True,True,True,False,4,0.25,0.75,0.0,0.0,0.25,0.75,4.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),3159,413,prime-number,True,False,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,3159,413,prime-number,False,True,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),3159,413,prime-number,True,True,False,False,4,,,,0.0,,,
naive,baseline,Naive Prompting,6694,1103,inducing-functions,False,False,True,False,4,0.25,0.75,0.0,,0.25,0.75,4.0
template,baseline,Template-only,6694,1103,inducing-functions,True,True,True,False,2,1.0,0.0,0.0,0.0,1.0,0.0,2.0
full,baseline,MetaKT-Verba (Full),6694,1103,inducing-functions,True,True,True,False,3,0.3333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333,0.6666666666666666,3.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),6694,1103,inducing-functions,True,False,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,6694,1103,inducing-functions,False,True,True,False,4,0.25,0.75,0.0,,0.25,0.75,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),6694,1103,inducing-functions,True,True,False,False,3,,,,0.0,,,
naive,baseline,Naive Prompting,4239,438,graph-shape,False,False,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
template,baseline,Template-only,4239,438,graph-shape,True,True,True,False,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0
full,baseline,MetaKT-Verba (Full),4239,438,graph-shape,True,True,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),4239,438,graph-shape,True,False,True,False,3,0.3333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333,0.6666666666666666,3.0
