item_id,rater_id,level1_tags,faithfulness,actionability,clarity,free_text,duration_sec
Q066,R1,S1:unsupported;S2:partial;S3:supported,4,4,5,s1: 과도하게 자신감을 가졌을 수도 있다라고 나와있는데 해당 학생은 여러차례 힌트를 확인하여 문제를 풀었기에 자신감이 있다고 단정지을 수는 없다고 생각됩니다.,5
Q026,R1,S1:unsupported;S2:unsupported;S3:unsupported,1,4,5,"s1: 어려운 내용에 직면하는 것을 꺼릴 가능성이 있음을 시사한다고 했지만 해당 학생은 7, 10단계를 풀고 421단계를 도전하여서 정답으로 맞춘 것으로 보아 어려운 내용에 직면하는 것을 꺼린다고 볼 수 없다고 생각됩니다.",88
Q051,R1,S2:partial;S1:unsupported;S3:supported,3,3,5,,104
Q110,R1,S1:unsupported;S2:partial,3,1,5,,45
Q045,R1,S2:unsupported;S1:unsupported,2,2,3,,239
Q021,R1,S1:supported;S2:unsupported,3,4,5,,21
Q027,R1,S1:unsupported;S2:unsupported;S3:supported,2,5,5,,36
Q124,R1,S1:partial;S2:unsupported,3,2,5,,342
Q031,R1,S2:partial;S1:unsupported,3,5,5,,59
Q102,R1,S1:supported;S2:unsupported;S3:unsupported,2,3,3,,56
Q112,R1,S1:partial;S2:supported,4,5,5,,70
Q047,R1,S1:partial;S2:supported;S3:unsupported,3,5,5,,65
Q072,R1,S1:unsupported;S2:unsupported;S3:supported,2,2,3,,46
Q139,R1,S1:partial;S2:partial;S3:unsupported,3,5,2,,46
Q104,R1,S1:unsupported;S2:supported;S3:supported,3,5,5,"s1: 학생이 596단계를 풀때 3.70배의 응답시간, 601단계를 풀때 2.87배의 응답시간을 보이고 전체적으로 힌트를 미사용했으며, 정답률60퍼센트를 기록한 것으로 보아 어려운 측면에 직면하는 것을 회피하고자 한다고 볼 수는 없을 것 같습니다. ",34
Q116,R1,S1:unsupported;S2:unsupported,2,5,5,,158
Q106,R1,S1:partial;S2:unsupported;S3:supported,3,5,3,S2: 연습 중인 기술의 어려운 측면에 직면하는 것을 꺼리는 태도를 나타낸다고 하였는데 1단계에서 힌트를 2회 사용하며 타 응답자 대비 10배 이상의 시간을 사용한 것으로 보아 해당 서술은 행동기록과 맞지 않는다고 보여집니다.,136
Q084,R1,S1:unsupported;S2:partial,2,5,5,,33
Q013,R1,S1:supported;S2:unsupported;S3:unsupported,2,4,3,,53
Q086,R1,S1:partial;S2:unsupported,3,3,4,,37
