item_id,rater_id,level1_tags,faithfulness,actionability,clarity,free_text,duration_sec
Q045,R4,S1:partial;S2:unsupported,2,2,4,"s1: overconfidence 지표가 강하게 드러나지만, 깊은 생각 없이 대안을 고려하지 않는 다는 문장 뒷부분은 뒷받침되지 않음. 
s2: unproductive frustration은 높은 노력에도 반복 오답을 보이는 것인데, 힌트를 모두 미사용하고 응시간이 짧은 편인 것을 보아 높은 노력이라 보기 어렵고, 복잡한 문제에 대한 어려움인지 판단 또한 불가능함.",2
Q079,R4,S1:unsupported;S2:unsupported,1,1,4,"s1: 힌트 사용 없이 높은 응답 시간을 소요하며 문제와 소통하려는 노력을 보이고 있음. 서술된 문장과 반대로 보임. 
s2: 모든 문항에서 꽤 긴 응답 시간을 소요하는 것으로 볼 때 노력을 안하거나 중단할 가능성은 낮아보임.",2
Q065,R4,S1:partial;S2:unsupported,2,3,4,"s1: 짧은 응답 시간과 지속적 힌트 사용 그리고 앞의 세 문제가 오답인 것으로 보아 어느 정도 방향성은 맞지만, 마지막 문제가 정답이고 힌트를 조금씩 늘려가며 사용하고 있다는 점에서 복잡한 문제에 깊이있게 접근하는 것을 꺼린다고 보긴 어려울 수 있음.
s2: 힌트 사용을 조금씩 늘려가며 마지막 문항에서는 정답을 맞췄다는 점에서 오히려 문제 해결 전략을 알맞게 사용했다고 볼 수도 있음. ",2
Q093,R4,S1:supported;S2:supported;S3:supported,5,4,5,,8
Q061,R4,S1:unsupported;S2:unsupported;S3:supported,3,5,5,"s1,2: 긴 응답 시간을 소모한 것으로 보아 문제를 피하거나 소통하려는 의지가 없다고 보기 어려움.",1
Q086,R4,S1:unsupported;S2:supported,3,4,5,"s1: 47, 201 문항이 응답시간이 짧고 오답이지만, 50, 190문항에서 꽤 긴 응답시간을 쓰며 힌트 없이 문제를 해결하려고 했다는 점에서 도전을 피하려는 징후라기 보단 도전해서 좌절된 결과로 보는 것이 더 적합함. ",299
Q110,R4,S1:unsupported;S2:partial,3,3,5,"s1: 63 문항은 틀리긴 했지만 오랜 시간 동안 도전했기에 회피하는 징후는 보이지 않음. 
s2: 누적 정답률과 비슷한 정답률을 보인다는 점에서 어느 정도 일리가 있으나, 패턴을 알 수는 없음. ",185
Q021,R4,S1:partial;S2:unsupported,3,2,5,"s1: unproductive frustration을 통해 마지막 문항에서는 깊은 숙고를 하지 않은 것으로 보임. 하지만 앞 문항에서는 깊은 숙고를 경험한 것으로 보여 부분 지지를 선택함. 
s2: 일관되게 낮은 성능을 보이고 있음. ",124
Q124,R4,S2:unsupported;S1:supported,3,3,5,s2: 문제를 회피했다기 보단 문제를 빠르게 푼 것으로 해석됨. ,560
Q112,R4,S1:partial;S2:supported,4,2,4,"s1: 771, 773에서는 서술문이 부합한 것으로 보이나 나머지 두 문항에서는 긴 소요 시간을 보내고 오답/정답을 낸 것으로 보아 일부만 지지되는 것으로 보임. ",786
Q039,R4,S1:unsupported,1,4,5,s1: 오히려 cognitive avoidance에 가까워 보임. ,252
Q111,R4,S2:supported;S3:supported;S1:supported,5,4,5,,125
Q047,R4,S1:partial;S2:supported;S3:unsupported,3,3,3,"s1: 앞에서는 응답 시간이 짧지만 뒤로 갈수록 긴 응답시간과 힌트 사용을 통해 높은 노력을 보임. 어느 정도 unproductive frustration의 조건에 부합해보이나 frustration이라기엔 뒤로 갈수록 높은 응답시간을 보이며 문제를 해결하려는 의지를 보이는 것 같음. 
s3: 오히려 뒤로 갈수록 문제에 많은 시간을 할애하는 것으로 보아 frustration이 일관되게 높다고 보기 어려움.",510
Q096,R4,S1:unsupported;S2:partial,3,3,4,"s1: 짧은 응답시간, 힌트 사용의 증가 등으로 보아 독립적 문제 해결을 했다고 보기 어려움.
s2: cognitive avoidance의 경향이 보이므로 서술문이 대부분 맞으나, 마지막에 정답이 나와 완전히 지지하기엔 부족함. ",1213
Q078,R4,S1:partial;S2:partial,3,3,5,"s1: overconfidence + cognitive avoidance가 관찰됨. 
s2: 문항에서도 힌트를 다수 사용하여 높은 노력을 했음에도 반복적으로 오답이 3회 나왔으나, 마지막 문항에서 응답시간이 길어진 것을 고려하여 일부 지지함. ",203
Q057,R4,S1:supported;S2:supported,5,3,4,,846
Q067,R4,S2:unsupported;S3:unsupported;S1:unsupported,1,2,2,"s1: 정답률을 높지만, 응답 시간이 짧아 강한 참여에 대한 여부를 판단할 수 없음. 또한 힌트 사용 시 독립적인 판단을 보였는지도 판단할 수 없음. 
s2: 응답시간이 짧긴 하지만, 헷갈리는 문항은 힌트도 사용하며 도전함. 
s3: 지속성과 회피성의 상호작용이라기 보다는 일관되게 지속적인 반응을 보임. ",1137
Q075,R4,S1:unsupported;S2:unsupported,1,2,4,"s1,2: 긴 응답시간을 소요하며 점차적으로 힌트도 사용하며 문제에 직면하고 해결하려는 모습을 보임. 서술문과 반대되는 행동 기록으로 보이며, unproductive frustration에 가까워 보임. ",131
Q037,R4,S1:supported;S2:unsupported;S3:unsupported;S4:unsupported,2,3,4,"s2: 전반적으로 overconfidence로 인식 부족이 있을 수 있으나, 힌트를 계속 사용하고 147문항에서 긴 응답시간을 보낸 것 등을 통해 학생이 어려움을 느끼고 인식했을 가능성 또한 볼 수 있음. 
s3, 4: 행동 기록에서 알 수 없음.",329
Q119,R4,S1:unsupported;S2:unsupported;S3:unsupported,1,4,3,"s1,2,3: 학생이 힌트 없이 꽤 긴 응답 시간을 각 문항에 보내며 고민하고 있는 것으로 보임. 문제와 소통하고 있고 주저한다기보단 의지를 가지고 해결하려고 하지만 지식이 부족한 것으로 판단됨. ",200
Q035,R4,S1:supported;S2:supported;S3:unsupported,3,2,2,s3: productive struggle이라고 하기엔 응답 시간이 너무 짧음. ,236
Q092,R4,S1:unsupported;S2:partial;S3:unsupported,2,2,5,"s1,3: 긴 응답 시간을 통해 학생이 집중하여 고민하고 문제와 소통한 것으로 보임. 
s2: 정답과 오답이 섞여 나오긴 했으나, 뒤로 갈수록 오답이 일관되게 나오기도 하여 부분적으로 지지됨. ",123
Q140,R4,S1:unsupported;S2:unsupported,1,3,4,"s1, 2: 문항 63에서는 응답시간이 빠르고 오답을 골랐으나, 힌트를 사용하였고 문항 64에서는 응답시간이 길고 고민 후에 오답을 고른 것으로 보아 자신감이 없었을 가능성이 높음.",190
Q015,R4,S1:supported;S2:unsupported,3,2,3,"s2: 강한 cognitive avoidance를 보이고 있으나, 힌트를 사용하며 대체적으로 긴 응답 시간을 소요하는 것으로 보아 노력을 안한다고 보기엔 힘듦. ",153
Q014,R4,S1:supported;S2:supported;S3:supported,5,1,2,,142
Q076,R4,S1:unsupported;S2:supported;S3:partial,3,2,3,"s1: 전체적으로 문항 응답이 모두 짧은 것이 아니고 정답률도 50%이므로 회피라고 보기 어려움.
s3: 맞는 말이긴 하지만, 의미 있는 분석이 아님. ",295
Q114,R4,S1:partial;S2:supported,4,3,5,"s1: 대체적으로 응답 시간이 짧고 특히 81, 83은 문제를 풀었다고 보기엔 매우 짧은 응답 시간이 기록됨. 회피하는 징후가 보이지만 82에서는 힌트 사용 후 적당한 시간을 사용하여 정답을 맞추어서 부분적으로 지지함. ",134
Q026,R4,S1:unsupported;S2:unsupported;S3:unsupported,1,3,4,"s1,2,3: 누적정답률 100%와 빠른 응답시간과 정답률 100%를 통해 학생이 해당 스킬을 완벽하게 숙지하과 있으며, 주의력 결핍 없이 일관되게 정답을 맞추었음을 보여줌. ",165
Q064,R4,S1:supported,5,3,5,overconfidence와 cognitive avoidance가 동시에 관찰됨에도 불구하고 overconfidence의 경향만 설명해준 것이 아쉬움.,90
Q094,R4,S1:unsupported,1,4,4,"독립적인 문제해결력은 볼 수 없으며, 오히려 cognitive avoidance에 가깝다고 보임. ",133
Q104,R4,S1:unsupported;S2:supported;S3:partial,3,3,4,"s1: 문항 596, 601에서 긴 응답 시간을 보내며 문제를 해결하고자 하는 의지를 보임. 문제를 회피했다고 보기 어려움. 
s3: 맞는 말이긴 하지만, 의미있는 분석이 아님.",228
Q010,R4,S1:supported;S2:unsupported,3,3,5,s2: 누적정답률 20%와 힌트 누적 사용을 보아 실수로 오답을 냈다고 보기 어려움. ,36
Q108,R4,S1:partial;S2:unsupported;S3:supported,3,2,4,"s1: 문항 305를 제외하고 나머지 문항은 오답이어도 긴 응답 시간 동안 고민하였거나 정답이므로 참여는 강한 편이라고 할 수 있으나, 독립적으로 판단했다는 행동 기록이 없음. 
s2: 문항 306의 경우 오답이긴 하지만 긴 응답 시간을 사용하며 고민한 흔적이 보이므로 회피 경향이 분명하지 않음. ",1
Q041,R4,S1:supported;S2:supported;S3:unsupported,3,2,3,"s3: overconfidence는 약간 보일 수 있지만, productive struggle은 보인다고 하기 어려움.",1
Q050,R4,S1:unsupported;S3:unsupported;S2:unsupported,1,3,5,"s1,2,3: 긴 응답시간을 사용하며 문제를 해결하고 오답을 도출해내고 힌트도 1회 사용한 것을 통해 높은 자신감을 가지고 있다기 보단 의심의 징후가 약간 보인다고 할 수 있음. ",1
Q113,R4,S1:supported;S2:supported;S3:unsupported,3,3,2,s3: 과제에 대한 몰입 및 지속과 관련된 근본적인 어려움을 암시한다고 보기엔 어려움.,1
Q022,R4,S1:unsupported;S2:partial;S3:partial,2,3,2,"s1: overconfidence라고 하기엔 힌트 사용이 점차적으로 늘어남. 
s2: 일관되게 힌트가 늘어나는 경향성이 다소 존재함. 
s3: overconfidence보다 cognitive avoidance일 가능성이 존재함. ",1
Q133,R4,S1:unsupported;S2:supported,3,5,4,s1: 힌트 사용 후 굉장히 짧은 응답 시간을 보인 것으로 보아 적극적으로 참여했다고 보기 어려움.,1
Q118,R4,S1:supported;S2:unsupported;S3:supported,3,3,3,s2: 일관되게 빠른 응답 속도로 정답을 유출해냈으므로 우연으로 보기 힘듦. ,1
Q069,R4,S1:unsupported;S2:supported;S3:unsupported,3,3,2,"s1, s3: 이 학생은 overconfidence보다 cognitive avoidance에 가깝다고 판단됨. 따라서 과신의 징후를 보기 어려우며, 자신감과 문제해결 전략 사이 균형에 대해 시사한다고 볼 수 없음.",1
Q013,R4,S1:supported;S2:unsupported;S3:unsupported,2,3,5,"s2: 매우 짧은 응답 시간을 보아 높은 노력을 기울였다고 보기 어려움. 
s3: 낮은 직전/현재 정답률을 통해 실수라고 보기 어려움.",1
Q049,R4,S1:unsupported;S2:unsupported;S3:partial,2,3,4,"s1: 문항 481에서 제법 긴 응답 시간을 사용하였고 이 후 정답을 연속으로 2번 맞힌 것으로 보아 회피한다고 보기 어려움. 
s2: 계속해서 오답을 내고 있지 않고 이후 응답시간이 눈에 띄게 짧아졌다고 보기도 어려우므로 unproductive frustration이라고 하기 힘듦. 
s3: 누적 정답률 38%와 비슷한 정답률을 내긴 하지만, 뚜렷한 패턴이 존재한다고 보기엔 힘듦.",1
Q028,R4,S1:partial;S2:supported,5,3,5,s1: 대체적으로 회피 경향이 보이지만 마지막 문항에서는 비교적 긴 시간을 사용하거나 중간에는 정답도 내는 등의 상황을 보아 부분적 지지 가능성이 있음. ,130
Q130,R4,S1:supported;S2:unsupported,3,3,5,s2: 낮은 정답률을 통해 실수라고 보긴 어려움. ,1
Q123,R4,S1:partial;S3:partial;S2:unsupported,2,2,4,"s1: 문항 70에서는 긴 응답 시간을 사용해 문제를 해결하려고 했음. 다른 문항에서는 전반적으로 짧은 응답시간과 정답률을 통해 회피 성향이 있을 수 있음을 판단함. 
s2: 하지만 분명하게 드러난다고 볼 수는 없음. (문항 70이 그 예)
s3: 응답 시간이 짧아 노력이 부족하다고도 볼 수 있으나, 점차적으로 힌트를 사용하는 것이 노력을 하는 것으로 판단될 수 있음. ",1
Q131,R4,S1:supported;S3:unsupported;S2:supported,3,3,4,s3: 행동기록 모두 높은 자신감을 보이며 frustration을 보여주지 않음. ,1
