item_id,rater_id,level1_tags,faithfulness,actionability,clarity,free_text,duration_sec
Q060,R3,S1:partial;S2:supported;S3:supported,4,4,3,,61
Q086,R3,S1:supported;S2:unsupported,3,5,3,,15
Q075,R3,S1:unsupported;S2:unsupported,1,2,4,,8
Q057,R3,S1:supported;S2:supported,5,5,5,,9
Q128,R3,S1:unsupported;S2:unsupported;S3:unsupported,1,1,5,,28
Q035,R3,S1:supported;S2:supported;S3:unsupported,3,5,5,,16
Q026,R3,S1:unsupported;S2:unsupported;S3:unsupported,1,1,5,S2에서 오류 가능성이 있다고 했으나 전부 정답,101
Q021,R3,S1:supported;S2:unsupported,3,4,5,,24
Q122,R3,S1:unsupported;S2:supported;S3:supported,2,2,4,,11
Q083,R3,S1:unsupported;S2:unsupported;S3:unsupported,1,1,2,,65
Q042,R3,S1:supported;S2:supported;S3:supported,5,5,5,,20
Q118,R3,S1:supported;S2:partial;S3:supported,4,5,5,,15
Q050,R3,S1:unsupported;S2:unsupported;S3:unsupported,1,5,5,S1에서 강한 확신은 짧은 응답시간을 근거로 하는 것으로 알고있지만 그렇지 아니함,124
Q013,R3,S1:supported;S2:unsupported;S3:supported,3,5,5,S2에서 좌절이라 하기에는 응답시간이 짧은 것으로 생각됨,44
Q010,R3,S2:supported;S1:supported,5,5,5,,8
Q092,R3,S1:unsupported;S2:supported;S3:unsupported,2,4,5,,13
Q055,R3,S1:supported;S2:supported,5,5,5,,7
Q112,R3,S1:partial;S2:partial,4,3,5,,15
Q139,R3,S1:partial;S2:supported;S3:unsupported,3,2,4,,12
Q014,R3,S1:supported;S2:partial;S3:supported,4,2,4,,69
