item_id,rater_id,level1_tags,faithfulness,actionability,clarity,free_text,duration_sec
Q091,R2,S1:unsupported;S2:unsupported,1,1,4,S1 오답은 오히려 0.99·1.21배로 시간을 들임. S2 본문자료만으로는 판단 불가능한 문장임.,18
Q113,R2,S1:partial;S2:partial;S3:unsupported,2,1,3,S3 retention은 이 기록으로 판별이 어려움.,2
Q084,R2,S1:unsupported;S2:unsupported,1,1,4,S1 틀린문항에 오히려 힌트 사용. 직전까지 정답률 100%인데 어려운 것을 꺼린다고 보기 어려움. s2 2문항으로 성능 일관성 판단은 어려움.,3
Q003,R2,S1:unsupported;S2:partial;S3:unsupported,1,1,3,S1 S3 3문항 모두 정답이며 회피했다고 보기 어려움.,4
Q051,R2,S1:unsupported;S2:unsupported;S3:unsupported,1,1,3,"S1, S2, S3 회피가 아니라 실패하는 상황(응답시간이 짧지 않음.)",3
Q046,R2,S1:unsupported;S2:partial,1,1,4,S1 장시간 문제를 풀었는데 도전적인 과제를 피한다고 보기 어려움.,3
Q094,R2,S1:unsupported,1,1,4,S1 힌트를 다회 받음,2
Q015,R2,S1:partial;S2:unsupported,2,1,4,"S2 근거없음. 응답시간 22~23배, 힌트 11~15회는 최소한의 노력과 정반대",2
Q133,R2,S1:unsupported;S2:partial,2,1,3,S1 응답시간이 지나치게 짧은 것으로 볼때 지속적 도전한다고 보기 어려움.,1
Q059,R2,S1:supported;S2:unsupported;S3:unsupported,2,1,4,S2는 응답시간이 짧아 노력 흔적이 없음. S3 역시 직전까지 오답률이 높이 이번에 slipping했다고 보기 어려움.,2
Q033,R2,S1:partial;S2:unsupported,2,1,5,S2 학생의 활동 선택에 관한 정보가 기록에 없음,2
Q114,R2,S1:partial;S2:partial,3,1,5,,3
Q078,R2,S1:partial;S2:partial,3,2,5,,1
Q116,R2,S1:unsupported;S2:unsupported,1,1,4,S1 S2 둘다 힌트도 들이고 작업시간도 사용함. ,2
Q136,R2,S1:partial;S2:partial;S3:partial,3,2,3,,2
Q126,R2,S1:unsupported;S2:unsupported,1,1,4,S1 힌트 없이 3문제 저답은 도전적인 과제를 피하는 것이라 보기 어려움.  S2 응답시간도 평범하고 정답도 4문제중 3문제 맞힘.,2
Q074,R2,S1:unsupported;S2:unsupported,1,1,4,S1 응답시간 평범함. 피하려는 모습 보이지 않음. S2 반복 오답도 없고 감정 판단할 수 있는 판단 근거도 없음.,2
Q108,R2,S3:supported;S2:partial;S1:partial,3,2,4,,2
Q105,R2,S1:unsupported;S2:partial,2,1,3,S1 힌트 없이 3.81배 들여 시도한 문항이 있는 것으로 볼때 어려운 문항을 회피한다고 보기 어려움.,2
Q139,R2,S1:partial;S2:partial;S3:unsupported,2,1,4,S3 정답률 0%에 정답 기록 없어 slipping으로 보기 어려움.,2
Q086,R2,S1:partial;S2:partial,3,1,4,,2
Q024,R2,S2:unsupported;S1:unsupported,1,1,4,S1 번역 오류 빛 회피 근거가 없음. S2 시간을 더 걸려 정답을 낸 사례가 있음,115
Q045,R2,S1:partial;S2:unsupported,2,1,4,S1 대안적인 접근 방법은 이 기록들로는 판별이 어려움. S2 이 문항들로는 감정 파악 확인 어려움. ,4
Q104,R2,S1:unsupported;S2:partial;S3:unsupported,2,1,3,S1 힌트 없이 오랜 시간 고민한 것을 볼때 깊이적으로 소통 안했다고 보기 어려움. S3 조합이 무엇인지 알 수 없음.,104
Q099,R2,S1:partial;S2:partial;S3:supported,3,2,2,,2
Q039,R2,S1:unsupported,1,1,4,S1  모든 문항에 힌트를 사용함,19
Q034,R2,S1:unsupported;S2:partial,2,1,4,S1 짧게 끝난 문제는 정답이였고 오답은 오히려 오랜 시간을 들여 풀음,3
Q050,R2,S1:unsupported;S2:unsupported;S3:unsupported,1,1,4,S1 오답인데다가 응답시간도 평균보다 김 S2 S1전제가 잘못되어있음 S3 긴 고민시간을 통해 의심 징후가 강하게 드러남.,7
Q112,R2,S1:partial;S2:partial,4,1,4,,1
Q026,R2,S1:unsupported;S2:unsupported;S3:unsupported,1,1,4,S1 정답 100%안 학생이 빨리 푼것은 깊이적으로 접근이라기 보다는 그냥 아는 문제를 빨리 푼 것으로 본 것이 더 적합함 S2 오답이 없음. S3 3문항 연속 정답은 주의 유지의 어려움과 반대되는 결과.,131
Q118,R2,S1:supported;S2:partial;S3:supported,4,2,3,,1
Q021,R2,S1:partial;S2:unsupported,2,1,4,S2 일관되지 않다고 나왔는데 일관되게 오답이 나옴,2
Q127,R2,S1:partial;S2:unsupported;S3:unsupported,1,1,5,S2 최대라고 볼 근거가 없음 응답시간이 압도적으로 빠르지고 다 정답이지도 않음 S3 힌트를 여러번 여는 등 망설임 징후가 있지 망설임 징후가 보이지 않는것이 아님,3
Q010,R2,S1:supported;S2:unsupported,3,1,4,S2 slipping이라고 보기엔 직전까지 오답이 너무 많음,2
Q093,R2,S1:partial;S2:supported;S3:supported,4,2,4,,6
Q076,R2,S1:unsupported;S2:partial;S3:unsupported,2,1,3,S1 응답시간 평범하고 가장 짧은 시간 걸린것은 정답임 S3 회피쪽 전제가 성립하지 않음,2
