item_id,sentence_id,majority_tag,cited_indicators,indicator,is_core,is_negative_control,score,verifier,premise,,,,,,,
Q123,S2,unsupported,['cognitive_avoidance'],cognitive_avoidance,FALSE,FALSE,0.342529297,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q123,S3,partial,['cognitive_avoidance'],cognitive_avoidance,FALSE,FALSE,0.023590088,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q037,S1,unsupported,['overconfidence'],overconfidence,TRUE,FALSE,0.007507324,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q037,S2,unsupported,['overconfidence'],overconfidence,TRUE,FALSE,0.003105164,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q037,S3,unsupported,['overconfidence'],overconfidence,TRUE,FALSE,0.419677734,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q037,S4,unsupported,['overconfidence'],overconfidence,TRUE,FALSE,0.000630856,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q091,S1,unsupported,['cognitive_avoidance'],cognitive_avoidance,FALSE,FALSE,0.993652344,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q091,S2,unsupported,[],FALSE,FALSE,0.811035156,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,,
Q131,S1,supported,['overconfidence'],overconfidence,FALSE,FALSE,0.000914097,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q131,S2,supported,['overconfidence'],overconfidence,FALSE,FALSE,0.001234055,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q131,S3,unsupported,['unproductive_frustration'],unproductive_frustration,FALSE,FALSE,0.272216797,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q031,S1,unsupported,['cognitive_avoidance'],cognitive_avoidance,FALSE,FALSE,0.958496094,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q031,S2,partial,['cognitive_avoidance'],cognitive_avoidance,FALSE,FALSE,0.953613281,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q098,S1,unsupported,['cognitive_avoidance'],cognitive_avoidance,FALSE,FALSE,0.922363281,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q098,S2,partial,['slipping'],slipping,FALSE,FALSE,0.051574707,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q098,S3,partial,['slipping'],slipping,FALSE,FALSE,0.002105713,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q076,S1,unsupported,['cognitive_avoidance'],cognitive_avoidance,TRUE,FALSE,0.081970215,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q076,S2,partial,['slipping'],slipping,TRUE,FALSE,0.004512787,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q076,S3,unsupported,"['cognitive_avoidance', 'slipping']",,TRUE,FALSE,0.003662109,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q081,S1,unsupported,['unproductive_frustration'],unproductive_frustration,TRUE,FALSE,0.98828125,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q081,S2,unsupported,['unproductive_frustration'],unproductive_frustration,TRUE,FALSE,0.001229286,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q081,S3,supported,[],TRUE,FALSE,0.003482819,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,,
Q079,S1,unsupported,['cognitive_avoidance'],cognitive_avoidance,FALSE,FALSE,0.026016235,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q079,S2,unsupported,['cognitive_avoidance'],cognitive_avoidance,FALSE,FALSE,0.008468628,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q094,S1,unsupported,['productive_struggle'],productive_struggle,TRUE,FALSE,0.383056641,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q085,S1,unsupported,['overconfidence'],overconfidence,FALSE,FALSE,0.94921875,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q085,S2,unsupported,['slipping'],slipping,FALSE,FALSE,0.004138947,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q113,S1,supported,['cognitive_avoidance'],cognitive_avoidance,TRUE,FALSE,0.926757813,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q113,S2,supported,['slipping'],slipping,TRUE,FALSE,0.020675659,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q113,S3,unsupported,['slipping'],slipping,TRUE,FALSE,0.003093719,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q105,S1,unsupported,['cognitive_avoidance'],cognitive_avoidance,FALSE,FALSE,0.922363281,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q105,S2,partial,['slipping'],slipping,FALSE,FALSE,0.027420044,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q016,S1,unsupported,['unproductive_frustration'],unproductive_frustration,FALSE,FALSE,0.9609375,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q016,S2,unsupported,['unproductive_frustration'],unproductive_frustration,FALSE,FALSE,0.013977051,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q016,S3,unsupported,['unproductive_frustration'],unproductive_frustration,FALSE,FALSE,0.001979828,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q135,S1,supported,['confidence_triad'],confidence_triad,FALSE,FALSE,0.389404297,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q135,S2,supported,['confidence_triad'],confidence_triad,FALSE,FALSE,0.670898438,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q135,S3,supported,['confidence_triad'],confidence_triad,FALSE,FALSE,0.157226563,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q013,S1,supported,['overconfidence'],overconfidence,TRUE,FALSE,0.075561523,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q013,S2,unsupported,['unproductive_frustration'],unproductive_frustration,TRUE,FALSE,0.00261879,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q013,S3,unsupported,['slipping'],slipping,TRUE,FALSE,0.004062653,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q044,S1,supported,['cognitive_avoidance'],cognitive_avoidance,FALSE,FALSE,0.922363281,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q044,S2,supported,['slipping'],slipping,FALSE,FALSE,0.024490356,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q044,S3,supported,['slipping'],slipping,FALSE,FALSE,0.002105713,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q059,S1,supported,['overconfidence'],overconfidence,FALSE,FALSE,0.075561523,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q059,S2,unsupported,['unproductive_frustration'],unproductive_frustration,FALSE,FALSE,0.00261879,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q059,S3,unsupported,['slipping'],slipping,FALSE,FALSE,0.004062653,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q089,S1,supported,['overconfidence'],overconfidence,FALSE,FALSE,0.244262695,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q089,S2,partial,['slipping'],slipping,FALSE,FALSE,0.005355835,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q045,S1,unsupported,['overconfidence'],overconfidence,TRUE,FALSE,0.001767159,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q045,S2,unsupported,['unproductive_frustration'],unproductive_frustration,TRUE,FALSE,0.023895264,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q082,S1,partial,['confidence_triad'],confidence_triad,FALSE,FALSE,0.525878906,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q082,S2,unsupported,['confidence_triad'],confidence_triad,FALSE,FALSE,0.516113281,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q082,S3,supported,['confidence_triad'],confidence_triad,FALSE,FALSE,0.951660156,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q069,S1,unsupported,['overconfidence'],overconfidence,FALSE,FALSE,0.075561523,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q069,S2,supported,['unproductive_frustration'],unproductive_frustration,FALSE,FALSE,0.015510559,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q069,S3,unsupported,['overconfidence'],overconfidence,FALSE,FALSE,0.001304626,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q025,S1,supported,['unproductive_frustration'],unproductive_frustration,FALSE,FALSE,0.9609375,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q025,S2,supported,['unproductive_frustration'],unproductive_frustration,FALSE,FALSE,0.004547119,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q051,S1,unsupported,['cognitive_avoidance'],cognitive_avoidance,TRUE,FALSE,0.958496094,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q051,S2,unsupported,['cognitive_avoidance'],cognitive_avoidance,TRUE,FALSE,0.954101563,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q051,S3,unsupported,['cognitive_avoidance'],cognitive_avoidance,TRUE,FALSE,0.023986816,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q137,S1,unsupported,['cognitive_avoidance'],cognitive_avoidance,FALSE,FALSE,0.00180912,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q137,S2,supported,['slipping'],slipping,FALSE,FALSE,0.002075195,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q095,S1,partial,['productive_struggle'],productive_struggle,FALSE,FALSE,0.274658203,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q095,S2,partial,['cognitive_avoidance'],cognitive_avoidance,FALSE,FALSE,0.065246582,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q095,S3,supported,"['productive_struggle', 'cognitive_avoidance']",,FALSE,FALSE,0.024703979,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q033,S1,partial,['cognitive_avoidance'],cognitive_avoidance,FALSE,FALSE,0.958496094,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q114,S1,partial, the student's cumulative accuracy on this skill was 23%. On attempt 1, and took 0.03 times their own average response time. On attempt 3, the student answered correctly, used 1 hint, and took 1.04 times their own average response time. On attempt 4, the student answered incorrectly, used no hints,TRUE,FALSE,0.997070313,mDeBERTa-v3-base-mnli-xnli,fact,,
Q114,S2,partial,['slipping'],slipping,TRUE,FALSE,0.005958557,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q086,S1,partial, the student's cumulative accuracy on this skill was 33%. On attempt 1, and took 3.14 times their own average response time. On attempt 3, the student answered incorrectly, used no hints, and took 3.14 times their own average response time. On attempt 4, the student answered incorrectly, used no hints,TRUE,FALSE,0.993652344,mDeBERTa-v3-base-mnli-xnli,fact,,
Q086,S2,unsupported,['unproductive_frustration'],unproductive_frustration,TRUE,FALSE,0.018203735,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q032,S1,supported,['overconfidence'],overconfidence,FALSE,FALSE,0.000863552,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q032,S2,supported,['overconfidence'],overconfidence,FALSE,FALSE,0.029373169,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q032,S3,unknown,['overconfidence'],overconfidence,FALSE,FALSE,0.559082031,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q129,S1,supported,['overconfidence'],overconfidence,FALSE,FALSE,0.735839844,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q129,S2,partial,['overconfidence'],overconfidence,FALSE,FALSE,0.001447678,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q129,S3,unsupported,['overconfidence'],overconfidence,FALSE,FALSE,0.260009766,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q034,S1,unsupported,[],FALSE,FALSE,0.000971317,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,,
Q034,S2,partial,['unproductive_frustration'],unproductive_frustration,FALSE,FALSE,0.001078606,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q121,S1,partial,['unproductive_frustration'],unproductive_frustration,FALSE,FALSE,0.9609375,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q121,S2,partial,['unproductive_frustration'],unproductive_frustration,FALSE,FALSE,0.004760742,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q111,S1,supported,['overconfidence'],overconfidence,FALSE,FALSE,0.169799805,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q111,S2,supported,['overconfidence'],overconfidence,FALSE,FALSE,0.963867188,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q111,S3,supported,['overconfidence'],overconfidence,FALSE,FALSE,0.007534027,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q112,S1,partial,['cognitive_avoidance'],cognitive_avoidance,TRUE,FALSE,0.3671875,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q112,S2,supported,['slipping'],slipping,TRUE,FALSE,0.058258057,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q130,S1,partial,[],TRUE,FALSE,0.993164063,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,,
Q130,S2,unsupported,['slipping'],slipping,TRUE,FALSE,0.002765656,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q039,S1,unsupported,['productive_struggle'],productive_struggle,TRUE,FALSE,0.514160156,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q057,S1,supported,['cognitive_avoidance'],cognitive_avoidance,TRUE,FALSE,0.3671875,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q043,S1,supported,['productive_struggle'],productive_struggle,FALSE,FALSE,0.611328125,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q043,S2,supported,['cognitive_avoidance'],cognitive_avoidance,FALSE,FALSE,0.024963379,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q043,S3,supported,"['cognitive_avoidance', 'productive_struggle']",,FALSE,FALSE,0.038299561,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q006,S1,unsupported,['cognitive_avoidance'],cognitive_avoidance,FALSE,FALSE,0.00052309,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q006,S2,unsupported,['unproductive_frustration'],unproductive_frustration,FALSE,FALSE,0.000657082,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q006,S3,supported,"['unproductive_frustration', 'cognitive_avoidance']",,FALSE,FALSE,0.005249023,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q001,S1,unsupported,['cognitive_avoidance'],cognitive_avoidance,FALSE,FALSE,0.922363281,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q001,S2,partial,['slipping'],slipping,FALSE,FALSE,0.014533997,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q001,S3,unknown,"['cognitive_avoidance', 'slipping']",,FALSE,FALSE,0.002542496,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q116,S1,unsupported,[],TRUE,FALSE,0.3671875,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,,
Q116,S2,unsupported,['cognitive_avoidance'],cognitive_avoidance,TRUE,FALSE,0.682128906,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q048,S1,partial,['productive_struggle'],productive_struggle,FALSE,FALSE,0.274658203,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q048,S2,unsupported,['cognitive_avoidance'],cognitive_avoidance,FALSE,FALSE,0.065246582,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q048,S3,unsupported,"['cognitive_avoidance', 'productive_struggle']",,FALSE,FALSE,0.024703979,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q073,S1,partial,['confidence_triad'],confidence_triad,FALSE,FALSE,0.965820313,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q073,S2,supported,['confidence_triad'],confidence_triad,FALSE,FALSE,0.629882813,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q073,S3,unsupported,['confidence_triad'],confidence_triad,FALSE,FALSE,0.979980469,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q003,S1,unsupported,['cognitive_avoidance'],cognitive_avoidance,FALSE,FALSE,0.003406525,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q003,S2,partial,['confidence_triad'],confidence_triad,FALSE,FALSE,0.973632813,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q003,S3,unsupported,['confidence_triad'],confidence_triad,FALSE,FALSE,0.421386719,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q011,S1,unsupported,['unproductive_frustration'],unproductive_frustration,FALSE,FALSE,0.9609375,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q011,S2,unsupported,['unproductive_frustration'],unproductive_frustration,FALSE,FALSE,0.067871094,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q011,S3,partial,['unproductive_frustration'],unproductive_frustration,FALSE,FALSE,0.003252029,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q090,S1,unsupported, the student's cumulative accuracy on this skill was 17%. On attempt 1, and took 3.20 times their own average response time. On attempt 3, the student answered correctly, used no hints, and took 0.44 times their own average response time. On attempt 4, the student answered incorrectly, used no hints,FALSE,FALSE,0.081970215,mDeBERTa-v3-base-mnli-xnli,fact,,
Q090,S2,unsupported,['slipping'],slipping,FALSE,FALSE,0.022445679,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q103,S1,supported,['overconfidence'],overconfidence,FALSE,FALSE,0.005554199,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q103,S2,supported,['overconfidence'],overconfidence,FALSE,FALSE,0.807128906,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q103,S3,partial,['overconfidence'],overconfidence,FALSE,FALSE,0.028396606,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q040,S1,supported,['confidence_triad'],confidence_triad,FALSE,FALSE,0.991210938,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q040,S2,unsupported,['confidence_triad'],confidence_triad,FALSE,FALSE,0.10168457,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q077,S1,partial,['overconfidence'],overconfidence,FALSE,FALSE,0.993164063,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q077,S2,supported,['slipping'],slipping,FALSE,FALSE,0.002765656,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q133,S1,unsupported,['productive_struggle'],productive_struggle,TRUE,FALSE,0.125,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q133,S2,unsupported,['cognitive_avoidance'],cognitive_avoidance,TRUE,FALSE,0.137939453,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q125,S1,supported,['cognitive_avoidance'],cognitive_avoidance,FALSE,FALSE,0.024307251,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q125,S2,unsupported,['slipping'],slipping,FALSE,FALSE,0.030059814,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q126,S1,unsupported,['cognitive_avoidance'],cognitive_avoidance,FALSE,FALSE,0.122497559,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q126,S2,unsupported,['unproductive_frustration'],unproductive_frustration,FALSE,FALSE,0.01385498,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q104,S1,unsupported, the student's cumulative accuracy on this skill was 60%. On attempt 1, and took 2.87 times their own average response time. On attempt 3, the student answered correctly, used no hints, and took 0.58 times their own average response time. On attempt 4, the student answered incorrectly, used no hints,TRUE,FALSE,0.047576904,mDeBERTa-v3-base-mnli-xnli,fact,,
Q104,S2,supported,['slipping'],slipping,TRUE,FALSE,0.00604248,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q104,S3,supported,"['cognitive_avoidance', 'slipping']",,TRUE,FALSE,0.003662109,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q093,S1,supported,['cognitive_avoidance'],cognitive_avoidance,TRUE,FALSE,0.094177246,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q093,S3,supported,['cognitive_avoidance'],cognitive_avoidance,TRUE,FALSE,0.957519531,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q017,S1,supported,['overconfidence'],overconfidence,FALSE,FALSE,0.94921875,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q017,S2,supported,['slipping'],slipping,FALSE,FALSE,0.003446579,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q141,S1,supported,['cognitive_avoidance'],cognitive_avoidance,FALSE,FALSE,0.047576904,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q141,S2,supported,['slipping'],slipping,FALSE,FALSE,0.00604248,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q141,S3,supported,"['cognitive_avoidance', 'slipping']",,FALSE,FALSE,0.003662109,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q097,S1,unsupported,['cognitive_avoidance'],cognitive_avoidance,FALSE,FALSE,0.853027344,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q097,S2,unknown,['unproductive_frustration'],unproductive_frustration,FALSE,FALSE,0.004825592,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q061,S1,unsupported,['cognitive_avoidance'],cognitive_avoidance,FALSE,FALSE,0.000651836,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q061,S3,supported,['cognitive_avoidance'],cognitive_avoidance,FALSE,FALSE,0.003885269,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q038,S1,unsupported, the student's cumulative accuracy on this skill was 86%. On attempt 1, and took 0.46 times their own average response time. On attempt 3, the student answered correctly, used no hints, and took 0.93 times their own average response time. On attempt 4, the student answered incorrectly, used no hints,FALSE,FALSE,0.000641823,mDeBERTa-v3-base-mnli-xnli,fact,,
Q038,S2,unsupported,['unproductive_frustration'],unproductive_frustration,FALSE,FALSE,0.618164063,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q030,S1,partial, the student's cumulative accuracy on this skill was 0%. On attempt 1, and took 0.22 times their own average response time. On attempt 3, the student answered incorrectly, used 3 hints, and took 0.10 times their own average response time. On attempt 4, the student answered incorrectly, used 4 hints,FALSE,FALSE,0.9609375,mDeBERTa-v3-base-mnli-xnli,fact,,
Q030,S2,supported,['unproductive_frustration'],unproductive_frustration,FALSE,FALSE,0.004547119,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
